SiteID,SiteName,Date,pH,Turbidity,LeadPPB,Chlorine,Status
WQ-001,Lake Springfield Intake,2024-01-15,7.2,3.1,1.2,1.8,Pass
WQ-001,Lake Springfield Intake,2024-04-15,7.4,2.8,0.9,1.7,Pass
WQ-001,Lake Springfield Intake,2024-07-15,7.1,4.2,1.5,2.0,Pass
WQ-001,Lake Springfield Intake,2024-10-15,7.3,3.5,1.1,1.9,Pass
WQ-002,Sugar Creek Station,2024-01-15,6.9,5.8,2.3,1.5,Pass
WQ-002,Sugar Creek Station,2024-04-15,7.0,6.2,2.8,1.4,Pass
WQ-002,Sugar Creek Station,2024-07-15,6.8,8.1,3.1,1.6,Watch
WQ-002,Sugar Creek Station,2024-10-15,7.1,5.5,2.0,1.5,Pass
WQ-003,Sangamon River South,2024-01-15,7.5,4.7,1.8,1.2,Pass
WQ-003,Sangamon River South,2024-04-15,7.6,5.1,2.1,1.1,Pass
WQ-003,Sangamon River South,2024-07-15,7.3,7.3,2.9,1.3,Pass
WQ-003,Sangamon River South,2024-10-15,7.4,4.9,1.7,1.2,Pass
WQ-004,Hunter Lake Reservoir,2024-01-15,7.8,2.2,0.5,2.1,Pass
WQ-004,Hunter Lake Reservoir,2024-04-15,7.7,2.0,0.4,2.2,Pass
WQ-004,Hunter Lake Reservoir,2024-07-15,7.6,2.8,0.7,2.0,Pass
WQ-004,Hunter Lake Reservoir,2024-10-15,7.9,2.1,0.3,2.1,Pass
WQ-005,Industrial Outfall Monitor,2024-01-15,6.5,12.4,8.7,0.8,Fail
WQ-005,Industrial Outfall Monitor,2024-04-15,6.7,10.8,7.2,0.9,Fail
WQ-005,Industrial Outfall Monitor,2024-07-15,6.4,14.1,9.8,0.7,Fail
WQ-005,Industrial Outfall Monitor,2024-10-15,6.6,11.5,6.9,0.8,Fail
